GEOID,ME,MELSAD,AQI_Good,Bachelor_Over_25,Per_Poverty,Gini,non_migration,Per_Sev_Hous,Xstreamlengthimpaired,Per_Avg_Land_Cov,poor_health_percent,Z_Water_Index,GHG_Percap,UNEMPLOY,FOOD_INS,VIO_CRIME,Broadband % population without access,Female_Inequality,Black_equality,Hispanic_equality,Asian_equality,,,,
13380,"Bellingham, WA","Bellingham, WA Metro Area",0.88,33.80,15.30,44.76,81.30,20.05,3.00,63.27,11.40,0.06,10.45,0.0773,14,193.7133986,0.00,0.949289557,1.066279548,0.7073783524,1.121120428,,,,
13420,"Bemidji, MN","Bemidji, MN Micro Area",0.95,27.00,19.00,44.63,83.20,15.17,8.78,41.28,11.00,0.04,13.68,0.1027,12.8,256.9210839,0.03,0.993736404,0.792407157,0.9806379733,1.649543024,,,,
13460,"Bend-Redmond, OR","Bend-Redmond, OR Metro Area",0.88,33.70,12.10,44.84,82.60,20.70,9.83,88.18,8.70,0.05,10.88,0.0707,13,168.568316,0.06,0.956446889,1.042566383,0.8481723662,1.084955191,,,,
13500,"Bennettsville, SC","Bennettsville, SC Micro Area",0.85,8.90,26.60,45.94,89.10,14.37,6.74,60.80,28.30,0.13,21.49,0.1545,21.5,895.2194556,0.99,1.096224343,1.028716452,0.6866365218,2.311673675,,,,
13540,"Bennington, VT","Bennington, VT Micro Area",0.91,34.30,12.80,45.35,88.00,18.55,30.07,79.37,12.70,0.06,9.60,0.0541,12.2,155.6173741,0.11,1.000650606,0.662609064,1.3597906520,1.242399549,,,,
13620,"Berlin, NH-VT","Berlin, NH-VT Micro Area",0.82,17.70,13.70,43.03,87.30,15.74,35.50,79.37,17.99,0.04,13.97,0.0673,11.71261885,135.2509449,0.50,1.035230316,0.542275138,1.0127696350,0.734343648,,,,
13660,"Big Rapids, MI","Big Rapids, MI Micro Area",0.78,21.70,22.50,45.72,82.10,16.54,77.80,67.71,9.30,0.08,21.34,0.1075,14.8,587.4106429,0.28,0.964135012,1.338349737,1.0020812910,1.616562682,,,,
13700,"Big Spring, TX","Big Spring, TX Micro Area",0.78,13.30,13.80,46.88,83.90,12.81,1.02,72.13,26.22,0.59,13.66,0.0646,13.6557826,585.4919579,0.50,1.032002843,0.785072709,0.7592452255,1.596855836,,,,
13720,"Big Stone Gap, VA","Big Stone Gap, VA Micro Area",0.84,12.90,21.20,50.02,88.90,13.53,17.99,63.10,24.09,0.04,15.76,0.0990,15.03386151,219.3309482,0.21,0.98088919,0.512862976,1.1261388510,2.572304918,,,,
13740,"Billings, MT","Billings, MT Metro Area",0.89,30.20,10.20,45.82,84.10,14.15,4.18,80.02,13.18,0.22,13.32,0.0373,10.68985795,353.4114188,0.61,0.964387999,0.840700800,0.7008407968,1.042144997,,,,
